iter	MultiClass
0	1.822921199
1	1.715303676
2	1.624529245
3	1.546122057
4	1.476238438
5	1.415071775
6	1.360216174
7	1.308197981
8	1.26197666
9	1.219203334
10	1.18009326
11	1.143653809
12	1.109435607
13	1.079562182
14	1.049122574
15	1.02028345
16	0.9933710201
17	0.9678351189
18	0.9440152236
19	0.9222961696
20	0.901801232
21	0.8814655124
22	0.8635441529
23	0.8458573598
24	0.8284832167
25	0.811786148
26	0.7965502171
27	0.7816697216
28	0.7673133027
29	0.7534957773
30	0.7403098472
31	0.7279345558
32	0.7167727747
33	0.7056566282
34	0.6949867129
35	0.6843529749
36	0.6739701785
37	0.665567225
38	0.6565481998
39	0.6474681887
40	0.6391232349
41	0.6305769745
42	0.6225584971
43	0.6146339949
44	0.6073331666
45	0.60036987
46	0.5935346459
47	0.5868668925
48	0.5806798474
49	0.5751124265
50	0.569076048
51	0.5630188812
52	0.5585880115
53	0.5533483135
54	0.5482408252
55	0.5430188605
56	0.5383090643
57	0.5337160079
58	0.5293732147
59	0.5248800832
60	0.5204258521
61	0.516322377
62	0.5129644608
63	0.5091691799
64	0.5058621017
65	0.5027176043
66	0.4988672593
67	0.4957712472
68	0.4923589779
69	0.4890944053
70	0.4863477115
71	0.4839153954
72	0.4811114409
73	0.4784597529
74	0.4757904055
75	0.473081924
76	0.4704336855
77	0.4676888807
78	0.4651468451
79	0.4628071982
80	0.4608294705
81	0.4594604112
82	0.4578510613
83	0.4557741128
84	0.4536164501
85	0.4515034514
86	0.4492961978
87	0.4475599871
88	0.4455066809
89	0.444366096
90	0.442905752
91	0.4414629113
92	0.4403246759
93	0.4387891323
94	0.4373874341
95	0.4357915515
96	0.4338664554
97	0.4322697205
98	0.4310391616
99	0.4295185452
