iter	Passed	Remaining
0	69	6909
1	166	8165
2	261	8460
3	362	8699
4	468	8901
5	576	9027
6	682	9065
7	787	9060
8	892	9021
9	996	8967
10	1098	8891
11	1203	8823
12	1307	8748
13	1411	8672
14	1516	8595
15	1620	8508
16	1725	8426
17	1831	8341
18	1936	8257
19	2042	8171
20	2147	8079
21	2251	7983
22	2355	7887
23	2460	7791
24	2565	7697
25	2670	7599
26	2774	7500
27	2881	7408
28	2988	7315
29	3092	7216
30	3195	7111
31	3299	7011
32	3402	6907
33	3507	6809
34	3616	6716
35	3725	6623
36	3832	6525
37	3936	6422
38	4040	6320
39	4143	6214
40	4246	6110
41	4350	6007
42	4451	5900
43	4555	5797
44	4656	5691
45	4758	5586
46	4860	5481
47	4964	5378
48	5067	5273
49	5171	5171
50	5274	5067
51	5377	4963
52	5483	4862
53	5587	4759
54	5688	4654
55	5790	4549
56	5893	4445
57	5993	4340
58	6096	4236
59	6199	4132
60	6300	4028
61	6404	3925
62	6507	3822
63	6607	3716
64	6708	3612
65	6811	3509
66	6914	3405
67	7018	3302
68	7122	3199
69	7224	3096
70	7326	2992
71	7431	2889
72	7536	2787
73	7637	2683
74	7739	2579
75	7844	2477
76	7947	2373
77	8049	2270
78	8154	2167
79	8259	2064
80	8365	1962
81	8467	1858
82	8568	1754
83	8668	1651
84	8766	1547
85	8864	1443
86	8965	1339
87	9068	1236
88	9169	1133
89	9272	1030
90	9373	927
91	9477	824
92	9583	721
93	9685	618
94	9787	515
95	9888	412
96	9988	308
97	10094	206
98	10193	102
99	10293	0
